mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
| 119960 |    1 |
| 119961 |    1 |
| 120279 |    1 |
| 120280 |    1 |
| 120283 |    1 |
| 120549 |    1 |
| 120550 |    1 |
| 120551 |    1 |
| 120786 |    1 |
| 120787 |    1 |
| 120792 |    1 |
| 120799 |    1 |
| 120802 |    1 |
| 121526 |    1 |
| 121527 |    1 |
| 121531 |    1 |
| 121836 |    1 |
| 121837 |    1 |
| 123261 |    1 |
| 123262 |    1 |
| 123265 |    1 |
| 124722 |    1 |
| 124723 |    1 |
| 126230 |    1 |
| 126231 |    1 |
| 126403 |    1 |
| 126404 |    1 |
| 126407 |    1 |
| 126411 |    1 |
| 126477 |    1 |
| 126478 |    1 |
| 126480 |    1 |
| 126483 |    1 |
| 127122 |    1 |
| 127123 |    1 |
| 127176 |    1 |
| 127177 |    1 |
| 128730 |    1 |
| 128731 |    1 |
| 128734 |    1 |
| 129170 |    1 |
| 129171 |    1 |
| 129173 |    1 |
| 129186 |    1 |
| 129190 |    1 |
| 129191 |    1 |
| 129225 |    1 |
| 129226 |    1 |
| 129228 |    1 |
| 130406 |    1 |
| 130407 |    1 |
| 130408 |    1 |
| 130761 |    1 |
| 130767 |    1 |
| 131846 |    1 |
| 131847 |    1 |
| 131850 |    1 |
| 131956 |    1 |
| 131957 |    1 |
| 132126 |    1 |
| 132127 |    1 |
| 132128 |    1 |
| 132148 |    1 |
| 132149 |    1 |
| 132150 |    1 |
| 132263 |    1 |
| 132264 |    1 |
| 132266 |    1 |
| 132339 |    1 |
| 132343 |    1 |
| 132344 |    1 |
| 132367 |    1 |
| 132368 |    1 |
| 132369 |    1 |
| 132720 |    1 |
| 132721 |    1 |
| 132723 |    1 |
| 133014 |    1 |
| 133015 |    1 |
| 133016 |    1 |
| 133240 |    1 |
| 133241 |    1 |
| 133242 |    1 |
| 133243 |    1 |
| 133856 |    1 |
| 133857 |    1 |
| 133859 |    1 |
| 133860 |    1 |
| 133987 |    1 |
| 133989 |    1 |
| 133990 |    1 |
| 134033 |    1 |
| 134034 |    1 |
| 134035 |    1 |
| 134060 |    1 |
| 134061 |    1 |
| 134062 |    1 |
| 135758 |    1 |
| 135761 |    1 |
| 135762 |    1 |
| 135773 |    1 |
| 135774 |    1 |
| 135775 |    1 |
| 135866 |    1 |
| 135867 |    1 |
| 135868 |    1 |
| 135869 |    1 |
| 135870 |    1 |
| 136334 |    1 |
| 136335 |    1 |
| 136480 |    1 |
| 136481 |    1 |
| 137264 |    1 |
| 137266 |    1 |
| 138980 |    1 |
| 138981 |    1 |
| 138984 |    1 |
| 139727 |    1 |
| 139732 |    1 |
| 139733 |    1 |
| 139735 |    1 |
| 140087 |    1 |
| 140088 |    1 |
| 140090 |    1 |
| 140420 |    1 |
| 140421 |    1 |
| 140422 |    1 |
| 140441 |    1 |
| 140442 |    1 |
| 140444 |    1 |
| 140506 |    1 |
| 140507 |    1 |
| 141766 |    1 |
| 141767 |    1 |
| 142512 |    1 |
| 142515 |    1 |
| 142516 |    1 |
| 142519 |    1 |
| 142520 |    1 |
| 142523 |    1 |
| 144548 |    1 |
| 144549 |    1 |
| 144623 |    1 |
| 144624 |    1 |
| 144626 |    1 |
| 144707 |    1 |
| 144708 |    1 |
| 145656 |    1 |
| 145657 |    1 |
| 145658 |    1 |
| 145659 |    1 |
| 145836 |    1 |
| 145837 |    1 |
| 146487 |    1 |
| 146488 |    1 |
| 146745 |    1 |
| 146746 |    1 |
| 146747 |    1 |
| 146748 |    1 |
| 146749 |    1 |
| 146760 |    1 |
| 146761 |    1 |
| 146837 |    1 |
| 146838 |    1 |
| 147441 |    1 |
| 147442 |    1 |
| 147647 |    1 |
| 147649 |    1 |
| 147650 |    1 |
| 147651 |    1 |
| 147652 |    1 |
| 147653 |    1 |
| 147763 |    1 |
| 147765 |    1 |
| 147766 |    1 |
| 148793 |    1 |
| 148794 |    1 |
| 148796 |    1 |
| 149173 |    1 |
| 149174 |    1 |
| 149175 |    1 |
| 149312 |    1 |
| 149313 |    1 |
| 149314 |    1 |
| 149481 |    1 |
| 149482 |    1 |
| 149484 |    1 |
| 149852 |    1 |
| 149853 |    1 |
| 149854 |    1 |
| 150265 |    1 |
| 150266 |    1 |
| 150267 |    1 |
| 151548 |    1 |
| 151549 |    1 |
| 151550 |    1 |
| 151763 |    1 |
| 151765 |    1 |
| 152633 |    1 |
| 152634 |    1 |
| 152636 |    1 |
| 152753 |    1 |
| 152754 |    1 |
| 152755 |    1 |
| 152986 |    1 |
| 152988 |    1 |
| 152989 |    1 |
| 153291 |    1 |
| 153292 |    1 |
| 153293 |    1 |
| 153728 |    1 |
| 153729 |    1 |
| 153731 |    1 |
| 153800 |    1 |
| 153801 |    1 |
| 153802 |    1 |
| 154318 |    1 |
| 154319 |    1 |
| 154321 |    1 |
| 155422 |    1 |
| 155423 |    1 |
| 155424 |    1 |
| 155691 |    1 |
| 155693 |    1 |
| 155694 |    1 |
| 156140 |    1 |
| 156141 |    1 |
| 156142 |    1 |
| 156414 |    1 |
| 156415 |    1 |
| 156416 |    1 |
| 156669 |    1 |
| 156670 |    1 |
| 158211 |    1 |
| 158213 |    1 |
| 158214 |    1 |
| 158264 |    1 |
| 158265 |    1 |
| 158266 |    1 |
| 158800 |    1 |
| 158801 |    1 |
